品目,数量,単位,高値,安値,主な産地,日付,元ファイル
くろまぐろ,376,1kg,2900,2000,,令和1年5月2日（木）,suiexcel (54).xls
きわだ,3507,1kg,2320,250,,令和1年5月2日（木）,suiexcel (54).xls
あじ,2055,1kg,1800,160,,令和1年5月2日（木）,suiexcel (54).xls
さば,2128,1kg,2000,160,,令和1年5月2日（木）,suiexcel (54).xls
まいわし,3058,1kg,230,100,,令和1年5月2日（木）,suiexcel (54).xls
養成ぶり,841,1kg,2430,790,,令和1年5月2日（木）,suiexcel (54).xls
かつお,2837,1kg,1400,360,,令和1年5月2日（木）,suiexcel (54).xls
養成まだい,5213,1kg,3330,160,,令和1年5月2日（木）,suiexcel (54).xls
さわら,1428,1kg,864,648,,令和1年5月2日（木）,suiexcel (54).xls
かれい,1822,1kg,2500,216,,令和1年5月2日（木）,suiexcel (54).xls
養成はまち,1495,1kg,1242,950,,令和1年5月2日（木）,suiexcel (54).xls
養成かんぱち,1728,1kg,1836,1170,,令和1年5月2日（木）,suiexcel (54).xls
するめいか,1154,1kg,1134,550,,令和1年5月2日（木）,suiexcel (54).xls
さけ,5561,1kg,1600,1000,,令和1年5月2日（木）,suiexcel (54).xls
しじみ,880,1kg,1296,324,,令和1年5月2日（木）,suiexcel (54).xls
あさり,3880,1kg,972,350,,令和1年5月2日（木）,suiexcel (54).xls
さざえ,1580,1kg,1100,700,,令和1年5月2日（木）,suiexcel (54).xls
ほたて貝,922,1kg,5560,300,,令和1年5月2日（木）,suiexcel (54).xls
冷凍もんごいか,210,1kg,4104,702,,令和1年5月2日（木）,suiexcel (54).xls
冷凍たこ,90,1kg,2268,1080,,令和1年5月2日（木）,suiexcel (54).xls
冷凍えび,634,1kg,4320,756,,令和1年5月2日（木）,suiexcel (54).xls
塩さば,5226,1kg,3800,324,,令和1年5月2日（木）,suiexcel (54).xls
塩さけ,2309,1kg,1750,950,,令和1年5月2日（木）,suiexcel (54).xls
塩すけそうこ,1318,1kg,3350,850,,令和1年5月2日（木）,suiexcel (54).xls
開干さんま,440,1kg,1300,350,,令和1年5月2日（木）,suiexcel (54).xls
開干あじ,359,1kg,1700,550,,令和1年5月2日（木）,suiexcel (54).xls
若干かれい,172,1kg,1728,900,,令和1年5月2日（木）,suiexcel (54).xls
ちりめん,4035,1kg,4644,900,,令和1年5月2日（木）,suiexcel (54).xls
なまりぶし,107,1kg,1250,800,,令和1年5月2日（木）,suiexcel (54).xls
ほたるいか,960,1kg,4500,670,,令和1年5月2日（木）,suiexcel (54).xls
